Transaction_ID,Transaction
1,"Milk, Bananas, Toilet Paper, Shampoo"
2,"Laundry Detergent, Toilet Paper, Disinfecting Wipes, Paper Towel"
3,"Milk, Eggs, Toothpaste, Diapers, Bananas"
4,"Bottled Water, Bananas, Toilet Paper"
5,"Shampoo, Diapers, Laundry Detergent"
6,"Milk, Paper Towel, Toilet Paper, Toothpaste"
7,"Bananas, Diapers, Bottled Water, Disinfecting Wipes"
8,"Laundry Detergent, Paper Towel, Shampoo, Milk"
9,"Toilet Paper, Disinfecting Wipes, Toothpaste, Bottled Water"
10,"Milk, Bananas, Diapers, Paper Towel"
11,"Laundry Detergent, Disinfecting Wipes, Paper Towel"
12,"Milk, Bananas, Toilet Paper, Toothpaste, Shampoo"
13,"Bottled Water, Toilet Paper, Laundry Detergent"
14,"Milk, Diapers, Bananas, Toothpaste"
15,"Shampoo, Paper Towel, Disinfecting Wipes"
16,"Toilet Paper, Milk, Bottled Water"
17,"Laundry Detergent, Paper Towel, Shampoo, Diapers"
18,"Bananas, Milk, Toothpaste"
19,"Disinfecting Wipes, Toilet Paper, Paper Towel, Laundry Detergent"
20,"Milk, Diapers, Bottled Water, Bananas"
